         SN     survey          z            chisq     dof          DayMax   RestFrameMag_0_B                  X0                  X1                Color                 Skew     DayMax_coverr        DayMax_err   RestFrameMag_0_B_coverr   RestFrameMag_0_B_err           X0_coverr              X0_err           X1_coverr              X1_err         Skew_coverr            Skew_err      Color_coverr         Color_err          CovDayMaxX0   CovDayMaxRestFrameMag_0_B          CovDayMaxX1        CovDayMaxSkew       CovDayMaxColor              CovX0X1            CovX0Skew           CovX0Color   CovRestFrameMag_0_BX1   CovRestFrameMag_0_BSkew   CovRestFrameMag_0_BColor            CovX1Skew           CovX1Color         CovSkewColor  
      19425       SDSS    0.21025    21.7444955038    42.0   54393.8963079      21.6485259019   3.91991836211e-05      -2.27036876379       0.134520918567      -0.510551273535     1.82320262525     1.88774392169            0.102414040136         0.106888475332   4.28682108255e-06    4.2721616661e-06      0.816349078364      0.805378155634       2.68525392844       2.64846292272   0.0708127986919   0.0700695561462   -5.93730979984e-06              0.125245867862      -0.897010531712        4.68384238918      0.0703080259062    6.17150057299e-07   -9.76944333926e-06   -2.49100813548e-07        -0.0102449810954            0.205730251196           0.00598086270376       -1.02905704897    -0.00819416856984       0.116266037515  
      15287       SDSS    0.27258    70.6138151929    71.0   54030.3560073      21.1431789455   6.18758955288e-05       1.37348163318     -0.0718238076005        1.43123439317     1.73996713589     1.88378148448           0.0398436975143        0.0394444784692   2.47015845532e-06   2.42822653563e-06      0.809804950316      0.846180716655       2.09997311065       2.25662905015   0.0412673610911   0.0410492941075   -2.43011777569e-06             0.0335487980366       -1.24634000774        3.53107616274       0.035190133054    7.55982468959e-07   -3.10963673623e-06   -7.74063745305e-08       -0.00998529390813            0.043272225417           0.00124670572388       -1.39979826568     -0.0141953810269      0.0433115916431  
       5533       SDSS    0.21829    77.1387917678    76.0   53667.4004763      21.1512869949   6.17970678322e-05    -0.0820594954931      0.0241705800876      -0.157762112486     1.20185312948      1.1901284511           0.0411345571618        0.0408234373694    2.4264391385e-06   2.40320303994e-06      0.645302509038      0.637275342924       1.29033662337          1.20687076   0.0336471984268   0.0333767571572   -1.54962656797e-06             0.0243354118233       -0.66794885315        1.46253077352     0.00694708439901    4.87252719848e-07   -1.71517686367e-06   -5.99348793425e-08       -0.00744197948606           0.0266779326789           0.00103285425396      -0.651911053155    -0.00143586236425      0.0083160565032  
      19604       SDSS    0.29448    43.9316773175    55.0   54397.3122667      22.3699652463   1.99755569648e-05      -0.14471170845       0.168392514965        1.88834827615     2.14630590461     1.88204381295           0.0911466683484        0.0914013261868   1.74658388404e-06   1.73836152583e-06       2.30923676101       2.12062907836       1.56612934681        1.4088154972   0.0725548616863   0.0722616342825    1.11710608631e-06             -0.053989376808       -4.03795982288        2.31933152255     -0.0046559531341   -2.36712835013e-06   -7.00743783105e-07   -6.36385249202e-08          0.114338509378           0.0347101200432           0.00333104649242       -1.30695897646      0.0216544318243      0.0245114145186  
      16281       SDSS    0.18255    20.5573203731    28.0   54055.3072544      20.4718621656   0.000115832953071     -0.674145196819     -0.0687636864036       -1.00980429078     0.80257568471    0.713182023115           0.0368835574283        0.0363933648976    4.0560793146e-06   3.95904657737e-06       1.32705111352       1.26206317338       0.99922981995      0.880341355067   0.0338909409231   0.0334162772576   -7.99009085657e-07            0.00613017757777      -0.698548375546       0.706555606596      0.0084601177855   -5.83822231904e-07   -1.59282046203e-06   -1.04153009353e-07        0.00517435710617           0.0126383931107          0.000944698801904      -0.628497080473    0.000485155323517      0.0129387516992  
      19969       SDSS     0.1742    36.9893923752    45.0   54409.4017947      20.5054445017   0.000111872626433     -0.238130438606      0.0225984838295         0.4665523181    0.636197341815    0.625365912976           0.0320043263832        0.0317218702132   3.36031388757e-06   3.33334641107e-06      0.541489204087      0.538065405898      0.761142971909       0.74739325027   0.0263634307654   0.0262226747532   -7.31474083026e-07               0.00627883437      -0.280114125483        0.42856613614     0.00207021883639    2.05736343562e-07   -9.36575186405e-07   -6.87728797192e-08        -0.0016070150397          0.00783960171496           0.00066018303719      -0.278732799507    0.000155971272735     0.00278540756379  
      16206       SDSS    0.15065     28.124052752    28.0    54057.410027      20.4010937422   0.000124372290292      -3.73933976832      -0.012106662394       -1.81656107581    0.702431603068      0.6013370328           0.0348245902645        0.0343352480131   4.21406321832e-06   3.99064147637e-06       1.75649606542       1.57133783492       1.12794139186        1.0157577746    0.033225624584   0.0313533528572    -1.0133899395e-06            0.00631930253827      -0.918563023855        0.73023214793     0.00723149600208     3.8106222147e-07   -1.96944039232e-06   -1.12162572375e-07      -0.000975465295784           0.0130426483312          0.000894447449076       -1.25794667767    0.000606991887863      0.0135994034658  
      20625       SDSS    0.10667    12.2230409426    22.0   54423.4430377      19.4735679429   0.000289714663453      0.213052396831    -0.00265076756297      -0.221612273347    0.318419316949    0.317972045999           0.0300061715318        0.0298337987915   8.04089983949e-06   8.00777796688e-06      0.536390783775      0.532295111932      0.317621451303      0.315417261626   0.0236711361943   0.0234976441091    3.08980401181e-07           -0.00124740136822      -0.104598519684      0.0904984630834    0.000737475921244   -1.11711336378e-06   -1.42551314053e-07   -1.49181530308e-07        0.00399677378323         0.000384575997462          0.000556166054175      -0.076473358026    0.000839651190397      0.0015044332283  
      20430       SDSS    0.16284     15.222909011    31.0   54414.9537183      20.7525883578   8.95095380915e-05     -0.378981959484      0.0289742064465       -1.46518927618    0.655772001988    0.626387397446           0.0375191392968        0.0372453456259   3.15905601967e-06   3.13567720519e-06       1.72235841473       1.69528596236       0.79477981782      0.748718582191   0.0326025149265   0.0323494734546    1.16040396402e-07           -0.00210252573946      -0.559849650262       0.476145192798     0.00244210084234   -1.82081011122e-06   -2.36996609914e-07    -7.2297111294e-08         0.0185023818286          0.00167217129911          0.000854011396862      -0.486393602234     0.00665941113487     0.00446116548971  
      16165       SDSS    0.15596     31.875268744    36.0   54051.7003151       20.123909947   0.000159120608583       1.38899852644     -0.0346201526162      -0.801608111557    0.447120889172    0.441725473021           0.0308348334971        0.0306854865432   4.53038549204e-06   4.51580252324e-06      0.441735615365      0.435059530838       0.43508404013      0.427648506575   0.0255219240543   0.0253538016683    -3.1016148492e-07            0.00187349269077      -0.134320291854        0.18413238517    0.000884409237972   -2.79653985241e-07   -4.08599730728e-07   -9.26394118071e-08        0.00191849503523          0.00250575481856          0.000632938351884       -0.11161688674      0.0012032752234     0.00123988780475  
